nboletahogar,nlinea,parentesco,sexo,edad,embarazada_lactante,sabe_leer,asistido_escuela_vez,estudiando_actual,grado_estudio,grado_estudio_an,ocupacion
GHCUES0001,1,1-Jefe del hogar,1-Hombre,47,,01-Si,01-Si,02-No,1-Primaria,6,10- Trabajador en manufacturas caseras
GHCUES0001,2,2-Esposa/esposo,2-Mujer,47,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,4,10- Trabajador en manufacturas caseras
GHCUES0001,3,3-Hijo,2-Mujer,23,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0001,4,3-Hijo,2-Mujer,21,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0001,5,3-Hijo,2-Mujer,19,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,6,06 - Ama de casa
GHCUES0001,6,3-Hijo,2-Mujer,18,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,3,07 - Escolar / estudiante
GHCUES0002,1,1-Jefe del hogar,1-Hombre,47,,01-Si,02-No,,,,02-Agricultor dedicado a granos básicos
GHCUES0002,2,2-Esposa/esposo,2-Mujer,52,4-No aplica,01-Si,01-Si,02-No,1-Primaria,1,15- Comerciante fijo en la comunidad
GHCUES0002,3,3-Hijo,1-Hombre,27,,01-Si,01-Si,02-No,1-Primaria,6,02-Agricultor dedicado a granos básicos
GHCUES0002,4,3-Hijo,1-Hombre,29,,01-Si,01-Si,02-No,1-Primaria,6,02-Agricultor dedicado a granos básicos
GHCUES0002,5,4-Yerno/nuera,2-Mujer,20,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,1,06 - Ama de casa
GHCUES0002,6,5-Nieto,1-Hombre,3,,,,,,,
GHCUES0005,1,1-Jefe del hogar,1-Hombre,36,,01-Si,01-Si,02-No,2-Secundaria,2,"04- Agricultor dedicado a hortalizas, frutas y granos básicos"
GHCUES0005,2,2-Esposa/esposo,2-Mujer,34,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0005,3,3-Hijo,1-Hombre,15,,01-Si,01-Si,01-Si,2-Secundaria,2,07 - Escolar / estudiante
GHCUES0005,4,3-Hijo,1-Hombre,10,,01-Si,01-Si,02-No,1-Primaria,4,
GHCUES0005,5,3-Hijo,1-Hombre,2,,,,,,,
GHCUES0006,1,1-Jefe del hogar,1-Hombre,45,,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0006,2,2-Esposa/esposo,2-Mujer,41,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0006,3,3-Hijo,1-Hombre,18,,01-Si,01-Si,01-Si,2-Secundaria,5,08 - Jornalero no agrícola
GHCUES0006,4,3-Hijo,1-Hombre,16,,01-Si,01-Si,01-Si,2-Secundaria,3,07 - Escolar / estudiante
GHCUES0006,5,3-Hijo,1-Hombre,10,,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0008,1,1-Jefe del hogar,1-Hombre,51,,01-Si,01-Si,02-No,1-Primaria,6,02-Agricultor dedicado a granos básicos
GHCUES0008,2,2-Esposa/esposo,2-Mujer,51,4-No aplica,01-Si,01-Si,02-No,0-Ninguno,0,06 - Ama de casa
GHCUES0008,3,3-Hijo,1-Hombre,17,,01-Si,01-Si,01-Si,2-Secundaria,1,07 - Escolar / estudiante
GHCUES0008,4,3-Hijo,2-Mujer,14,3-No embarazada ni lactante,02-No,02-No,,,,
GHCUES0008,5,3-Hijo,2-Mujer,7,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0009,1,1-Jefe del hogar,1-Hombre,63,,01-Si,01-Si,02-No,9-No sabe,8,02-Agricultor dedicado a granos básicos
GHCUES0009,2,2-Esposa/esposo,2-Mujer,48,3-No embarazada ni lactante,02-No,02-No,,,,09- Trabajador en oficios domésticos
GHCUES0009,3,3-Hijo,2-Mujer,17,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,6,09- Trabajador en oficios domésticos
GHCUES0009,4,3-Hijo,1-Hombre,14,,01-Si,01-Si,01-Si,1-Primaria,5,
GHCUES0009,5,3-Hijo,2-Mujer,27,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,09- Trabajador en oficios domésticos
GHCUES0009,6,5-Nieto,1-Hombre,6,,02-No,01-Si,01-Si,0-Ninguno,0,
GHCUES0010,1,1-Jefe del hogar,1-Hombre,38,,01-Si,01-Si,02-No,1-Primaria,6,21- Empleado especializado público o privado
GHCUES0010,2,2-Esposa/esposo,2-Mujer,31,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,10- Trabajador en manufacturas caseras
GHCUES0010,3,3-Hijo,2-Mujer,6,4-No aplica,02-No,01-Si,01-Si,,,
GHCUES0010,4,3-Hijo,2-Mujer,4,4-No aplica,,,,,,
GHCUES0011,1,1-Jefe del hogar,2-Mujer,30,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,5,21- Empleado especializado público o privado
GHCUES0011,2,2-Esposa/esposo,1-Hombre,34,,01-Si,01-Si,01-Si,3-Superior/universitaria,3,21- Empleado especializado público o privado
GHCUES0011,3,3-Hijo,1-Hombre,9,,01-Si,01-Si,01-Si,1-Primaria,2,
GHCUES0011,4,3-Hijo,2-Mujer,4,4-No aplica,,,,,,
GHCUES0012,1,1-Jefe del hogar,1-Hombre,58,,01-Si,01-Si,02-No,1-Primaria,4,02-Agricultor dedicado a granos básicos
GHCUES0012,2,3-Hijo,2-Mujer,38,2-Lactante,01-Si,01-Si,02-No,1-Primaria,3,10- Trabajador en manufacturas caseras
GHCUES0012,3,5-Nieto,2-Mujer,20,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,2,07 - Escolar / estudiante
GHCUES0012,4,5-Nieto,2-Mujer,1,4-No aplica,,,,,,
GHCUES0012,5,3-Hijo,2-Mujer,36,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,2,10- Trabajador en manufacturas caseras
GHCUES0012,6,5-Nieto,1-Hombre,15,,01-Si,01-Si,01-Si,2-Secundaria,2,07 - Escolar / estudiante
GHCUES0012,7,5-Nieto,1-Hombre,10,,01-Si,01-Si,01-Si,1-Primaria,4,
